date,group_size,avg_max_temp,avg_min_temp,avg_mean_temp,avg_total_precip,degree_days
1872-01-05,2,-0.25,-2.75,-1.5,25.95,0.0
1872-01-06,2,-0.85,-11.95,-6.4,1.0,0.0
1872-01-07,2,-11.95,-24.45,-18.2,0.25,0.0
1872-01-08,2,-9.75,-18.35,-14.05,0.0,0.0
1872-01-09,2,-5.55,-15.55,-10.55,0.0,0.0
1872-01-10,2,-5.0,-11.15,-8.1,0.0,0.0
1872-01-11,2,-6.4,-14.45,-10.45,0.65,0.0
1872-01-12,2,1.95,-6.95,-2.5,4.35,0.0
1872-01-13,2,1.4,-3.35,-1.0,0.0,0.0
1872-01-14,2,-0.55,-13.05,-6.8,0.0,0.0
1872-01-15,2,-10.85,-18.9,-14.9,0.5,0.0
1872-01-16,2,-8.6,-16.1,-12.4,0.0,0.0
1872-01-17,2,-4.15,-8.85,-6.5,7.4,0.0
1872-01-18,2,-3.3,-8.3,-5.85,18.45,0.0
1872-01-19,2,-0.85,-9.75,-5.3,0.0,0.0
1872-01-20,2,-0.55,-4.75,-2.65,20.8,0.0
1872-01-21,2,-1.1,-7.75,-4.45,1.8,0.0
1872-01-22,2,-1.7,-14.15,-7.95,0.0,0.0
1872-01-23,2,3.05,-2.5,0.25,1.0,0.0
1872-01-24,2,-0.8,-15.6,-8.2,14.35,0.0
1872-01-25,2,-13.05,-20.3,-16.7,0.5,0.0
1872-01-26,2,-8.6,-16.35,-12.5,0.0,0.0
1872-01-27,2,-3.35,-11.65,-7.55,0.0,0.0
1872-01-28,2,-5.3,-13.35,-9.35,0.0,0.0
1872-01-29,2,-3.9,-11.95,-7.95,0.4,0.0
1872-01-30,2,-8.05,-15.85,-11.95,0.0,0.0
1872-01-31,2,-10.3,-17.2,-13.75,0.0,0.0
1872-02-01,2,-10.25,-23.35,-16.8,0.0,0.0
1872-02-02,2,-4.75,-19.45,-12.15,0.0,0.0
1872-02-03,2,-5.3,-20.6,-13.0,10.15,0.0
1872-02-04,2,-5.85,-8.6,-7.25,10.8,0.0
