year,group_size,year_avg_max_temp,year_avg_min_temp,year_avg_mean_temp,year_total_precip,max_temp_of_warmest_month,min_temp_of_coldest_month,temp_annual_range,precip_wettest_month,precip_driest_month,isothermality,mean_temperature_of_wettest_quarter,mean_temperature_of_driest_quarter,mean_temperature_of_warmest_quarter,mean_temperature_of_coldest_quarter,precip_of_wettest_quarter,precip_of_driest_quarter,precip_of_warmest_quarter,precip_of_coldest_quarter,precip_seasonality,temp_seasonality,days_until_89_degree_days_hit,degree_days_hit_on_July_1st
1951,365,8.62,-2.09,3.27,1041.16,22.97,-18.09,41.06,115.72,46.99,27.42,15.0,9.6,15.0,-9.26,290.24,216.66,290.24,256.53,0.1993,1108.058,151.0,290.82
1952,366,9.1,-1.47,3.82,1028.18,25.95,-20.22,46.17,109.91,54.64,28.89,16.46,-9.32,16.46,-9.32,301.24,222.11,301.24,222.11,0.2308,1106.5092,157.0,282.53
1953,365,9.85,-1.03,4.42,878.4,23.7,-17.17,40.87,103.34,39.65,29.53,15.46,0.68,15.46,-8.35,251.2,191.37,251.2,243.09,0.3035,1035.6082,158.0,295.48
1954,365,7.94,-2.25,2.85,1178.04,21.75,-22.56,44.31,144.89,60.8,26.02,14.23,-10.46,14.23,-10.46,361.79,223.04,361.79,223.04,0.2321,1108.459,161.0,277.65
1955,365,8.64,-2.06,3.3,893.23,26.03,-18.53,44.56,113.95,45.64,21.14,16.24,10.19,16.24,-11.17,287.15,175.99,287.15,237.09,0.3016,1244.0799,151.0,367.14
1956,366,7.57,-3.17,2.21,888.89,21.08,-16.79,37.87,109.84,49.1,21.55,13.61,-10.03,13.61,-10.03,298.53,180.8,298.53,180.8,0.2449,1056.5932,165.0,215.24
1957,365,8.65,-2.4,3.13,955.06,22.62,-24.79,47.41,140.95,34.11,26.77,14.72,-11.23,14.72,-11.23,287.39,147.23,287.39,147.23,0.4644,1139.2436,155.0,300.52
1958,365,7.97,-2.31,2.84,1017.09,22.69,-21.11,43.8,130.59,41.72,21.94,15.04,-3.76,15.04,-7.96,349.67,210.12,349.67,218.02,0.3365,1112.9099,170.0,170.8
1959,365,8.46,-2.49,2.99,952.53,25.94,-23.66,49.6,123.79,43.49,20.6,17.0,-12.52,17.0,-12.52,283.87,191.12,283.87,191.12,0.3394,1258.2079,148.0,309.23
1960,366,8.82,-1.63,3.6,944.35,23.37,-17.92,41.29,124.83,50.9,25.14,15.34,-1.34,15.34,-9.58,249.3,222.02,249.3,243.19,0.2759,1123.9744,147.0,372.35
1961,365,8.58,-1.69,3.45,913.03,23.13,-22.94,46.07,112.32,46.94,24.83,16.56,-11.85,16.56,-11.85,299.28,165.31,299.28,165.31,0.2847,1188.1306,163.0,235.53
1962,365,7.94,-2.8,2.58,939.19,22.5,-22.9,45.4,122.59,36.61,25.62,14.65,-11.53,14.65,-11.53,290.27,173.51,290.27,173.51,0.283,1195.5522,151.0,313.18
1963,365,8.02,-2.72,2.66,971.52,24.08,-21.58,45.66,155.75,41.16,21.73,14.54,-11.87,14.54,-11.87,361.78,183.25,361.78,183.25,0.4266,1234.4861,154.0,316.44
1964,366,8.45,-2.21,3.13,919.18,23.53,-16.88,40.41,105.06,44.76,25.59,14.61,-9.31,14.61,-9.31,255.99,210.77,255.99,210.77,0.2613,1070.638,146.0,296.66
